Part_nuit,Participation,Date,Julian_day,site_point,Longitude,Latitude,Eptser_tot,Eptser_tot_Part1,ln_Eptser_tot_Part1,Median_part1,Sunrise,Sunset,NightDuration,Moonrise,Moonset,Moonlight,ALAN,Cloud_cover,Windspeed,Windspeed_1before,Windspeed_2before,Windspeed_3before,Windspeed_4before,Windspeed_5before,Difference_windspeed,Temperature_anomaly,Temperature_anomaly_1before,Temperature_anomaly_2before,Temperature_anomaly_3before,Temperature_anomaly_4before,Temperature_anomaly_5before,Difference_temperature_anomaly,Precipitations,Precipitations_1before,Precipitations_2before,Precipitations_3before,Precipitations_4before,Precipitations_5before,Difference_precipitations,Artifialized_surfaces,Crops,Grasslands,Deciduous_forests,Conifer_forests,Shannon_index,Road_density,SWF_density,Min_dist_water
5630a55a5f4b2f000d5b70e6_2015-06-17,5630a55a5f4b2f000d5b70e6,17/06/2015,168,56308bb0f942f5000df31f04_Z1,2.504410744,48.38068234,32,29,3.36729582998647,7136.451,18/06/2015 05:48,17/06/2015 21:53,28465,17/06/2015 07:01,17/06/2015 22:28,0.008139343,0.1617076,58,4.294184,6.519201,4.810405,3.634557,3.894866226,3.577710821,-0.646398618,0.017096774,0.117096772,2.117096727,3.277096701,3.407096698,4.187096681,-1.975333289,0,0,0,0,0,0,0,0.176569415,0.174758524,0.0427718,0.3206241,0.2813184,1.804737093,1.64553017,0.001936826,726.3093132
5630a7f05f4b2f000e32a729_2015-06-12,5630a7f05f4b2f000e32a729,12/06/2015,163,56308beff942f5000df31f0a_Z1,1.685875654,48.63137702,23,20,2.99573227355399,5964.8195,13/06/2015 05:50,12/06/2015 21:55,28485,13/06/2015 03:59,13/06/2015 18:36,0,1.217773,74,3.577711,3.801314,5.280149,9.265524,9.178779189,7.057619804,-2.644883412,4.509999899,6.399999857,0.469999989,-1.35999997,-1.499999966,-1.279999971,2.808666604,1.000000015,3.800000057,0,0,0,0,-0.266666671,0.179752985,0.401459972,0.0664007,0.3363962,0.01568236,1.686094469,1.55357251,0.011070726,93.94192916
565c4d66f66c96000d83a9c0_2014-06-12,565c4d66f66c96000d83a9c0,12/06/2014,163,565c1805189c73000dff56aa_H2,2.492008209,49.20469379,11,6,1.79175946922805,887.793,13/06/2014 05:44,12/06/2014 21:55,28147,12/06/2014 20:57,13/06/2014 06:19,0.99999615,5.100913,11,6.103278,2.801788,3.100006,2.059129,7.060447932,2.817801945,2.801608079,2.168709629,3.138709607,3.618709597,5.458709555,5.208709561,6.928709523,-2.09066662,0,0,8.200000122,19.20000029,19.50000029,4.100000061,-8.900000133,0.275087,0.080240932,0.09234763,0.5283056,0.01246746,1.506797572,1.82410284,0.011807292,350.9165863
565eba33dd3d94000deb6caa_2014-06-12,565eba33dd3d94000deb6caa,12/06/2014,163,565c1805189c73000dff56aa_F2,2.498960495,49.20917283,71,53,3.97029191355212,7295.233,13/06/2014 05:44,12/06/2014 21:55,28144,12/06/2014 20:57,13/06/2014 06:19,0.99999615,3.582569,11,6.103278,2.801788,3.100006,2.059129,7.060447932,2.817801945,2.801608079,2.168709629,3.138709607,3.618709597,5.458709555,5.208709561,6.928709523,-2.09066662,0,0,8.200000122,19.20000029,19.50000029,4.100000061,-8.900000133,0.242043511,0.098077284,0.1003233,0.5223043,0.02582005,1.564218689,1.54231402,0.01126586,765.3038131
572d921bc81861000e6c0336_2016-05-04,572d921bc81861000e6c0336,04/05/2016,125,572b06731bdf8c000d97c81c_Z1,0.980508327,47.43468892,15,15,2.70805020110221,2914.733,05/05/2016 06:32,04/05/2016 21:12,33627,05/05/2016 06:05,05/05/2016 19:45,0,3.751716,7,8.947066,4.802084,6.549046,4.596738,9.501579925,6.3,2.993734143,-0.769032241,0.08096774,-2.999032191,-3.839032172,-4.029032168,-4.359032161,1.599333298,0,0,0,0,5.900000088,2.00000003,-0.920000014,0.363341201,0.198811492,0.15661,0.1857737,0.004619493,2.107555672,3.18718373,0.095511331,91.69952442
5747635efcaa80000e4561bb_2016-05-20,5747635efcaa80000e4561bb,20/05/2016,141,5746c11efcaa80000e455503_Z1,0.994797796,47.35460282,24,21,3.04452243772342,1972.245,21/05/2016 06:12,20/05/2016 21:32,31193,20/05/2016 20:00,21/05/2016 06:24,0.993603709,0.4513722,29,4.242641,6.774218,11.96035,3.201562,7.569016935,8.720665009,-3.435750659,0.748064499,-1.53193545,-2.791935421,-2.381935431,-2.761935422,-4.591935381,3.15399993,0,0,7.900000118,0,0,0,-2.106666698,0.179610519,0.242924463,0.1456882,0.3743943,0.01451187,1.987973333,2.28220515,0.067133008,0.833750847
57775511f7419a000dc969e3_2016-06-03,57775511f7419a000dc969e3,03/06/2016,155,5776eb06060efa000e4b3b1e_Z6,5.850445032,43.87671201,15,9,2.19722457733622,6971.569,04/06/2016 05:55,03/06/2016 21:13,31309,04/06/2016 05:45,04/06/2016 20:33,0,3.137852,77,1.523155,3.130494,7.516646,7.922754,8.125271035,6.802940585,-4.646231577,-0.845161271,-2.425161236,-2.68516123,-3.115161221,-2.375161237,-1.065161267,1.689999962,0,0,0,1.600000024,0,5.40000008,-0.68000001,0.130450927,0.137011494,0.01924668,0.1705111,0.1093864,2.434310221,2.00499129,0.042362089,148.9480533
577b50ee191ea6000d81fde7_2016-06-08,577b50ee191ea6000d81fde7,08/06/2016,160,577aa1f4d97469000daf3dee_Z1,0.958471298,47.39160934,35,34,3.52636052461616,4517.7845,09/06/2016 05:59,08/06/2016 21:50,29323,08/06/2016 09:40,09/06/2016 00:33,0.131065319,2.637781,39,5.346027,7.68505,3.920459,2.961417,4.939634217,5.192301563,0.1418332,3.502580567,4.132580553,3.842580559,-0.177419351,-1.12741933,-3.217419283,1.500666633,0,0,0,0,0,0,0,0.202996405,0.088749685,0.09578091,0.4444665,0.09297267,1.848467199,2.04851347,0.075252843,755.7242555
57833768e9e96b000de2270f_2016-05-27,57833768e9e96b000de2270f,27/05/2016,148,574c3382984ec9000dd93777_Z1,0.95870465,47.31604288,23,23,3.13549421592915,3242,28/05/2016 06:06,27/05/2016 21:40,30367,28/05/2016 01:54,28/05/2016 12:28,0.619599099,1.010643,52,5.375872,4.119465,4.382919,9.154778,7.125307011,8.747572075,-0.530229406,2.834838646,1.054838686,-0.945161269,-3.405161214,-1.79516125,-2.055161244,3.792666582,7.600000113,1.700000025,4.200000063,0,3.700000055,15.60000023,4.380000065,0.19397888,0.555212055,0.08830114,0.09997984,0.02824179,2.128015219,2.25222214,0.077086649,31.01553313
57d7d4644afc01000e86b120_2016-06-06,57d7d4644afc01000e86b120,06/06/2016,158,57344eb46b9acb000d4c6960_Z8,-0.583727539,46.40631779,47,46,3.8286413964891,4400.936,07/06/2016 06:10,06/06/2016 21:51,29942,06/06/2016 07:47,06/06/2016 23:07,0.024656179,0.106926,72,3.920459,2.961417,4.939634,5.192302,5.420330706,5.481785129,-0.510539236,2.329354787,-0.270645155,-0.650645147,-1.970645117,-1.170645135,-2.110645114,3.283999927,0,0,0,0,0,0,0,0.058883238,0.901876591,0.03078381,0.000778084,0.000371358,1.644689405,2.25271592,0.0122104,4369.945682
