treatment,repeated_times,triad,bat_ID,peak_light_wavelength,light_intensity,time_foraging_onset,total_foraging_time,food_consumption,freezing_time,estimated_echolocation_pulse_rate
dark_control,1,1,1088,,0,32.08,27.47,6.73,9.73,1.97
dark_control,1,1,1095,,0,15.78,30.8,6.62,9.75,1.97
dark_control,1,1,1096,,0,9.98,34.28,7.75,9.95,1.97
dark_control,2,1,1088,,0,60,0,0,43.3,0.23
dark_control,2,1,1095,,0,54.7,2.93,0.99,24.03,0.23
dark_control,2,1,1096,,0,45.32,3.48,1.09,36.83,0.23
dark_control,3,1,1088,,0,36.25,7.3,1.89,25.98,0.47
dark_control,3,1,1095,,0,20.55,22.88,4.84,9.65,0.47
dark_control,3,1,1096,,0,17.18,25.57,4.43,10.73,0.47
dark_control,4,1,1088,,0,19.75,15.92,4.83,28.65,0.55
dark_control,4,1,1095,,0,15.43,13.67,3.62,18.58,0.55
dark_control,4,1,1096,,0,12.45,27.98,3.61,14.35,0.55
dark_control,5,1,1088,,0,37.98,2.53,0.76,42.28,0.38
dark_control,5,1,1095,,0,60,0,0,40.9,0.38
dark_control,5,1,1096,,0,6.97,29.13,3.2,18.45,0.38
dark_control,6,1,1088,,0,52.05,6.3,2.18,42.08,0.13
dark_control,6,1,1095,,0,27.8,5.57,1.27,22.82,0.13
dark_control,6,1,1096,,0,28.82,15.23,4.1,26.93,0.13
dark_control,7,1,1088,,0,30.88,5.03,1.53,40.48,0.89
dark_control,7,1,1095,,0,37.12,6.5,6.84,42.15,0.89
dark_control,7,1,1096,,0,25.58,24,6.93,29.45,0.89
dark_control,8,1,1088,,0,35.87,3.33,1.59,45.78,0.49
dark_control,8,1,1095,,0,17.1,15.03,4.22,27.8,0.49
dark_control,8,1,1096,,0,15.1,16.17,2.49,27.22,0.49
dark_control,9,1,1088,,0,22.87,0.35,0.57,46.9,0.08
dark_control,9,1,1095,,0,23.62,2.78,1.47,42,0.08
dark_control,9,1,1096,,0,9,10.68,3.75,29.38,0.08
dark_control,10,1,1088,,0,39.13,3.02,1.13,35.65,0.14
dark_control,10,1,1095,,0,19.73,9.12,2.32,27.33,0.14
dark_control,10,1,1096,,0,13.87,6.72,2.5,46.18,0.14
dark_control,11,1,1088,,0,17.88,5.28,1.08,39.02,0.36
dark_control,11,1,1095,,0,14.97,11.77,3.57,15.32,0.36
dark_control,11,1,1096,,0,15.77,11.27,2.53,31.15,0.36
dark_control,12,1,1088,,0,12.63,10.55,2.79,25.5,0.18
dark_control,12,1,1095,,0,11.85,11.47,3.36,9.72,0.18
dark_control,12,1,1096,,0,11.08,18,4.94,28.42,0.18
dark_control,13,1,1088,,0,13.17,7.93,2.09,37.68,0.69
dark_control,13,1,1095,,0,6.02,17.77,3.83,9.67,0.69
dark_control,13,1,1096,,0,7.53,9.87,2.92,27.95,0.69
dark_control,14,1,1088,,0,22.85,7.2,0.47,28.78,0.68
dark_control,14,1,1095,,0,19.53,0.47,2.78,48.02,0.68
dark_control,14,1,1096,,0,19.48,10.87,4.5,31.47,0.68
dark_control,15,1,1088,,0,10.25,4.02,1.77,38.77,0.12
dark_control,15,1,1095,,0,11.12,8.45,2.96,16.62,0.12
dark_control,15,1,1096,,0,5.52,12.67,4.48,33.65,0.12
dark_control,16,1,1088,,0,23.22,5.87,2.02,42.65,1.51
dark_control,16,1,1095,,0,17.37,11.05,3.47,7.8,1.51
dark_control,16,1,1096,,0,15.12,14.58,4.88,25.93,1.51
dark_control,17,1,1088,,0,42.47,3.38,1.9,42.33,0.37
dark_control,17,1,1095,,0,11.38,9.83,2.54,34.95,0.37
dark_control,17,1,1096,,0,39.17,6.9,3.62,33.63,0.37
dark_control,18,1,1088,,0,60,0,0,49,0
dark_control,18,1,1095,,0,27.2,2.48,2.17,30.27,0
dark_control,18,1,1096,,0,24.18,4.45,1.93,35.12,0
